,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
11,1,500000,raxml,0,0.5,0.01,INT,NOREF,78_0_0,476,NA,-29.3766338390736,427,998,0.000754711354892485,0.00106169266539582,0.00173116211790578,56,-2169.73987911446,414,898,NA,0.239258554720061,29420811.677449,-25.1049047869396,132,133
12,1,500000,raxml,0,0.5,0.01,INT,REF,78_0_0,476,NA,-29.2955761839166,554,1044,0.000784268265776331,0.00110079176700071,0.00179281796751969,44,-28.3756096799471,469,943,NA,0.239258554720061,29420811.6547024,-25.0238471317826,174,188
13,1,500000,raxml,0,0.5,0.05,INT,NOREF,78_0_0,84,NA,-26.3385100248557,557,1011,0.0113506711305462,0.00389911354962819,0.00947471341300765,118,-25.3040542081732,459,925,NA,0.239258554720061,29420812.2162125,-22.0667809727217,92,178
14,1,500000,raxml,0,0.5,0.05,INT,REF,78_0_0,84,NA,-27.0596294783048,573,969,0.0111464730887803,0.00375822244760537,0.00901546051762493,108,-42.9189647811621,488,952,NA,0.239258554720061,29420812.0804232,-22.7879004261708,193,207
15,1,500000,raxml,0,0.5,0.1,INT,NOREF,78_0_0,28,NA,-25.6449775861841,773,1128,0.0532625204343149,0.00851089217063071,0.0227978332819584,140,-26.6403186293011,675,1125,NA,0.239258554720061,29420812.5353195,-21.3732485340501,393,394
16,1,500000,raxml,0,0.5,0.1,INT,REF,78_0_0,28,NA,-29.3821561024129,623,1083,0.0785222367108055,0.00884878609809171,0.0236580566417753,128,-27.9442863348109,524,982,NA,0.239258554720061,29420812.7520846,-25.1104270502789,243,243
17,1,500000,raxml,0,0.5,0.15,INT,NOREF,78_0_0,17,NA,-27.9061435027702,697,1223,0.0486592358389812,0.00610377272123571,0.0187901334025311,150,-27.0325570164141,697,1123,NA,0.239258554720061,29420812.5008181,-23.6344144506362,414,416
18,1,500000,raxml,0,0.5,0.15,INT,REF,78_0_0,17,NA,-27.9613777653528,706,1072,0.0486060784609877,0.00604053838314912,0.0186989059864601,154,-26.263312533834,608,1068,NA,0.239258554720061,29420812.4013806,-23.6896487132188,327,327
19,1,500000,raxml,0,0.5,0,INT,NOREF,78_0_0,1666,NA,-15.29666125839,431,1002,0.00622669622110948,0.000353142711701113,0.000495322042462679,50,-3.17356174783243,418,902,NA,0.239258554720061,29420811.541352,-11.024932206256,122,137
20,1,500000,raxml,0,0.5,0,INT,REF,78_0_0,1680,NA,-15.3642366578068,445,937,0.00638443733852456,0.000362123513573583,0.000505973218661379,48,13.5243935720497,432,920,NA,0.239258554720061,29420811.5446548,-11.0925076056728,137,151
21,1,500000,raxml,0,0.75,0.01,INT,NOREF,78_0_0,476,NA,-29.3766338390736,427,984,0.000754711354892485,0.00106169266539582,0.00173116211790578,56,-2169.73987911446,414,898,NA,0.239258554720061,29420811.677449,-25.1049047869396,47,133
22,1,500000,raxml,0,0.75,0.01,INT,REF,78_0_0,476,NA,-29.2955761839166,482,1044,0.000784268265776331,0.00110079176700071,0.00179281796751969,44,-28.3756096799471,469,943,NA,0.239258554720061,29420811.6547024,-25.0238471317826,174,188
23,1,500000,raxml,0,0.75,0.05,INT,NOREF,78_0_0,84,NA,-26.3385100248557,543,1025,0.0113506711305462,0.00389911354962819,0.00947471341300765,118,-25.3040542081732,459,925,NA,0.239258554720061,29420812.2162125,-22.0667809727217,177,178
24,1,500000,raxml,0,0.75,0.05,INT,REF,78_0_0,84,NA,-27.0596294783048,573,1039,0.0111464730887803,0.00375822244760537,0.00901546051762493,108,-42.9189647811621,488,952,NA,0.239258554720061,29420812.0804232,-22.7879004261708,121,207
25,1,500000,raxml,0,0.75,0.1,INT,NOREF,78_0_0,28,NA,-25.6449775861841,773,1225,0.0532625204343149,0.00851089217063071,0.0227978332819584,140,-26.6403186293011,675,1125,NA,0.239258554720061,29420812.5353195,-21.3732485340501,294,394
